/Users/sucharith/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting 48143 URLs -> production_run/output/full_validated.csv, production_run/output/full_unresolved.csv
[progress] 25/48143 (0.1%) validated=19 unresolved=6 rate=166.8/min eta=17304s
[progress] 36/48143 (0.1%) validated=27 unresolved=9 rate=80.7/min eta=35769s
[progress] 48/48143 (0.1%) validated=36 unresolved=12 rate=77.7/min eta=37137s
[progress] 50/48143 (0.1%) validated=36 unresolved=14 rate=73.2/min eta=39442s
[progress] 55/48143 (0.1%) validated=40 unresolved=15 rate=64.2/min eta=44950s
[progress] 61/48143 (0.1%) validated=46 unresolved=15 rate=58.0/min eta=49748s
[progress] 67/48143 (0.1%) validated=52 unresolved=15 rate=53.5/min eta=53884s
[progress] 71/48143 (0.1%) validated=56 unresolved=15 rate=49.8/min eta=57908s
[progress] 75/48143 (0.2%) validated=60 unresolved=15 rate=49.4/min eta=58358s
[progress] 81/48143 (0.2%) validated=65 unresolved=16 rate=46.8/min eta=61606s
[progress] 87/48143 (0.2%) validated=69 unresolved=18 rate=45.4/min eta=63516s
[progress] 91/48143 (0.2%) validated=72 unresolved=19 rate=42.8/min eta=67349s
[progress] 98/48143 (0.2%) validated=78 unresolved=20 rate=42.7/min eta=67442s
[progress] 100/48143 (0.2%) validated=79 unresolved=21 rate=42.6/min eta=67733s
[progress] 104/48143 (0.2%) validated=83 unresolved=21 rate=41.3/min eta=69773s
[progress] 110/48143 (0.2%) validated=89 unresolved=21 rate=41.0/min eta=70345s
[progress] 116/48143 (0.2%) validated=95 unresolved=21 rate=40.2/min eta=71644s
[progress] 121/48143 (0.3%) validated=100 unresolved=21 rate=39.4/min eta=73076s
[progress] 125/48143 (0.3%) validated=103 unresolved=22 rate=39.2/min eta=73407s
[progress] 131/48143 (0.3%) validated=108 unresolved=23 rate=38.7/min eta=74428s
[progress] 137/48143 (0.3%) validated=112 unresolved=25 rate=38.2/min eta=75347s
[progress] 141/48143 (0.3%) validated=114 unresolved=27 rate=37.6/min eta=76620s
[progress] 148/48143 (0.3%) validated=120 unresolved=28 rate=37.5/min eta=76849s
[progress] 150/48143 (0.3%) validated=122 unresolved=28 rate=37.1/min eta=77636s
[progress] 156/48143 (0.3%) validated=128 unresolved=28 rate=37.0/min eta=77848s
