run_id,started_at,completed_at,input_file,input_hash,validated_count,unresolved_count,status,top_reason
20260114-065911_235249,2026-01-14T06:59:11.231791,2026-01-14T06:59:24.218654,demo_batch.csv,d8d807831304e58f367a84cde744c18cf02ea36932c725cbef6da63cf4c0a2b5,0,10,complete,Exception in resolve_one: local variable 'record' referenced before assignment
20260114-070112_d9317f,2026-01-14T07:01:12.373423,2026-01-14T07:01:12.715923,,,0,1,complete,Exception in resolve_one: local variable 'record' referenced before assignment
20260114-070419_36a0d8,2026-01-14T07:04:19.799676,2026-01-14T07:04:20.160688,,,1,0,complete,
20260114-070410_6ab261,2026-01-14T07:04:10.236160,2026-01-14T07:04:23.920058,demo_batch.csv,d8d807831304e58f367a84cde744c18cf02ea36932c725cbef6da63cf4c0a2b5,6,4,complete,ATS URL invalid: 404
20260114-071101_53522b,2026-01-14T07:11:01.485168,2026-01-14T07:11:01.795891,,,1,0,complete,
20260114-082935_4d5183,2026-01-14T08:29:35.598657,2026-01-14T08:29:37.369877,,,1,0,complete,
20260114-083119_17708e,2026-01-14T08:31:19.802874,2026-01-14T08:31:21.546311,,,1,0,complete,
20260114-083218_ebe715,2026-01-14T08:32:18.789704,2026-01-14T08:32:20.450105,,,1,0,complete,
20260114-083242_3a4b78,2026-01-14T08:32:42.530109,2026-01-14T08:32:44.264151,,,1,0,complete,
20260114-083309_f1c4bd,2026-01-14T08:33:09.352510,2026-01-14T08:33:11.057917,,,1,0,complete,
20260114-083319_7bc2e0,2026-01-14T08:33:19.680091,2026-01-14T08:33:21.413520,,,1,0,complete,
20260114-083338_deb4e5,2026-01-14T08:33:38.541609,2026-01-14T08:33:40.232057,,,1,0,complete,
20260114-083445_d71978,2026-01-14T08:34:45.858974,2026-01-14T08:34:47.627677,,,1,0,complete,
